                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6                         7                         8                         9                        10                        11
                        l                      n_pg                       n_p                       n_g                  Re(freq)                  Im(freq)                     x_ref                         E                    E_norm                    M_star                    R_star
                        0                         7                         7                         0   0.1118174395382437E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.5268270939199546E-005   0.1989000000000000E+034   0.6959894677000000E+011
                        0                         8                         8                         0   0.1263553079412568E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.2260465394769311E-005   0.1989000000000000E+034   0.6959894677000000E+011
                        0                         9                         9                         0   0.1407662012757069E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.9975474413247834E-006   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        10                        10                         0   0.1548565214655466E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.4432011345767006E-006   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        11                        11                         0   0.1686873898605032E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.2108241830095739E-006   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        12                        12                         0   0.1822286279906268E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.1147155515846671E-006   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        13                        13                         0   0.1957533273887420E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.6966592502795176E-007   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        14                        14                         0   0.2093607158814545E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.9999999999999999E+000   0.4529632463754819E-007   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        15                        15                         0   0.2228956740171285E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.3028966383184715E-007   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        16                        16                         0   0.2363627631314456E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.2116247381364109E-007   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        17                        17                         0   0.2497556699239044E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.1610805662954850E-007   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        18                        18                         0   0.2631667173759024E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.1318604795281997E-007   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        19                        19                         0   0.2766989386816299E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.1132476469475321E-007   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        20                        20                         0   0.2902635732645429E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.9999999999999999E+000   0.9963312436806344E-008   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        21                        21                         0   0.3038529521816922E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.8897335784824235E-008   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        22                        22                         0   0.3174667508114892E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.8186011483564834E-008   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        23                        23                         0   0.3310853445719120E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.7730502197324271E-008   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        24                        24                         0   0.3447697958504478E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.7453000763677332E-008   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        25                        25                         0   0.3584869521822670E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.7306700295817748E-008   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        26                        26                         0   0.3722288338802993E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.7210209940985533E-008   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        27                        27                         0   0.3860115360219899E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.9999999999999999E+000   0.7198322740887577E-008   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        28                        28                         0   0.3998015238383256E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.7242685785994252E-008   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        29                        29                         0   0.4136205508820968E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.9999999999999999E+000   0.7317402219765498E-008   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        30                        30                         0   0.4274528422568412E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.9999999999999999E+000   0.7470273186331523E-008   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        31                        31                         0   0.4412939206072410E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.7661678568391384E-008   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        32                        32                         0   0.4551644940151599E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.7897256758032828E-008   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        33                        33                         0   0.4690261248395846E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.9999999999999999E+000   0.8184660483109626E-008   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        34                        34                         0   0.4828981894016643E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.8535299728548054E-008   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        35                        35                         0   0.4967853098905700E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.8991638484213029E-008   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        36                        36                         0   0.5106733894613705E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.9506597284142596E-008   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        37                        37                         0   0.5245727303762046E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.9999999999999998E+000   0.1010782012200795E-007   0.1989000000000000E+034   0.6959894677000000E+011
                        0                        38                        38                         0   0.5384595801982424E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.9999999999999999E+000   0.1085168265729805E-007   0.1989000000000000E+034   0.6959894677000000E+011
                        1                         6                         5                         0   0.1039589649368275E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.9999999999999999E+000   0.8288664199661221E-005   0.1989000000000000E+034   0.6959894677000000E+011
                        1                         7                         6                         0   0.1185649277309683E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.3559936583670142E-005   0.1989000000000000E+034   0.6959894677000000E+011
                        1                         8                         7                         0   0.1329733387625844E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.1558073601354916E-005   0.1989000000000000E+034   0.6959894677000000E+011
                        1                         9                         8                         0   0.1473017076303246E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.6797993341574152E-006   0.1989000000000000E+034   0.6959894677000000E+011
                        1                        10                         9                         0   0.1612780758668340E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.9999999999999998E+000   0.3115862691179300E-006   0.1989000000000000E+034   0.6959894677000000E+011
                        1                        11                        10                         0   0.1749451836610469E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.1559325149969133E-006   0.1989000000000000E+034   0.6959894677000000E+011
                        1                        12                        11                         0   0.1885176082812154E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.8969018759668698E-007   0.1989000000000000E+034   0.6959894677000000E+011
                        1                        13                        12                         0   0.2020753879732259E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.5683484586807844E-007   0.1989000000000000E+034   0.6959894677000000E+011
                        1                        14                        13                         0   0.2156957820192016E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.9999999999999998E+000   0.3720876720113527E-007   0.1989000000000000E+034   0.6959894677000000E+011
                        1                        15                        14                         0   0.2292413453464372E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.9999999999999999E+000   0.2537969565486260E-007   0.1989000000000000E+034   0.6959894677000000E+011
                        1                        16                        15                         0   0.2426562399970179E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.1839525023954143E-007   0.1989000000000000E+034   0.6959894677000000E+011
                        1                        17                        16                         0   0.2560883135272218E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.1448546435670659E-007   0.1989000000000000E+034   0.6959894677000000E+011
                        1                        18                        17                         0   0.2695699251179416E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.9999999999999999E+000   0.1223188951457501E-007   0.1989000000000000E+034   0.6959894677000000E+011
                        1                        19                        18                         0   0.2831320799575843E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.9999999999999998E+000   0.1060705608804226E-007   0.1989000000000000E+034   0.6959894677000000E+011
                        1                        20                        19                         0   0.2967483817091403E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.9999999999999999E+000   0.9399358524336698E-008   0.1989000000000000E+034   0.6959894677000000E+011
                        1                        21                        20                         0   0.3103480172616388E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.8521594698160100E-008   0.1989000000000000E+034   0.6959894677000000E+011
                        1                        22                        21                         0   0.3239831454452949E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.7917467445798313E-008   0.1989000000000000E+034   0.6959894677000000E+011
                        1                        23                        22                         0   0.3376514409604757E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.7581023339832572E-008   0.1989000000000000E+034   0.6959894677000000E+011
                        1                        24                        23                         0   0.3513515838424667E+004   0.0000000000000000E+000   0.1000000000000000E+001   0.1000000000000000E+001   0.7365363859547467E-008   0.1989000000000000E+034   0.6959894677000000E+011
